Year,Month,Cape Ferguson,Rosslyn Bay,Global
2012,12,84,107,62.7
2013,1,127,155,64.8
2013,2,149,250,64.3
2013,3,220,265,63.8
2013,4,177,184,62.3
2013,5,145,184,62.4
2013,6,87,146,60.6
2013,7,65,51,59.8
2013,8,-26,32,57
2013,9,-51,-9,56.1
2013,10,18,73,55.9
2013,11,10,42,59.4
2013,12,66,59,61.9
2014,1,153,192,64
2014,2,185,193,64
2014,3,156,133,64.4
2014,4,122,132,63.8
2014,5,101,120,63.2
2014,6,97,125,62.6
2014,7,38,70,62.5
2014,8,46,63,62.4
2014,9,-15,11,61.6
2014,10,-10,6,62.6
2014,11,0,44,63.5
2014,12,49,123,67.6
2015,1,90,140,69.2
2015,2,209,261,72
2015,3,137,186,71.4
2015,4,90,110,72.6
2015,5,94,135,71.7
2015,6,73,105,72.8
2015,7,-23,-5,72
2015,8,-66,-50,72.6
2015,9,-3,34,72.3
2015,10,8,-15,74.8
2015,11,21,52,77
2015,12,87,100,79.8
2016,1,34,75,80.3
2016,2,171,205,80.5
2016,3,190,223,79.7
2016,4,203,204,78.6
2016,5,81,97,78.5
2016,6,64,76,78.6
2016,7,45,60,78
2016,8,63,66,76.7
2016,9,-11,5,74.9
2016,10,68,73,76.1
2016,11,56,91,76.8
2016,12,48,67,77.9
2017,1,123,161,76.7
2017,2,169,187,77
2017,3,121,164,78
2017,4,219,279,79
2017,5,138,145,79.1
2017,6,73,91,79.4
2017,7,18,26,80.3
2017,8,31,74,80.9
2017,9,-6,10,80.2
2017,10,43,93,80.5
2017,11,140,144,81
2017,12,83,107,82.2
2018,1,170,166,81.8
2018,2,185,207,82.2
2018,3,296,273,81.3
2018,4,234,255,82
2018,5,163,195,81.7
2018,6,47,116,83.8
2018,7,26,64,83.5
2018,8,-26,12,84.6
2018,9,-17,4,84.4
2018,10,2,14,85.1
2018,11,-93,32,84.5
2018,12,152,117,85.5
2019,1,161,121,86.6
2019,2,282,286,88.9
2019,3,150,143,89.2
2019,4,242,210,90.2
2019,5,165,153,90.3
2019,6,125,146,91.4
2019,7,53,84,92
2019,8,35,49,92.2
2019,9,10,25,91.6
2019,10,19,44,90.7
2019,11,13,18,90.8
2019,12,90,111,
2020,1,127,125,
2020,2,162,166,
